quality/resolution,start_timestep,end_timestep,time_interval,x_range,y_range,z_range,total_read_time_seconds,absolute_data_points,min_temperature_ocean,max_temperature_ocean,rmse,average_signed_error(bias),median_absolute_error,average_absolute_error,percentage_average_error
-15,0,0,0,"[0, 8640]","[0, 6480]","[0, 1]",0.5582,54810,-1.943281°C,31.988415°C,1.989774°C,0.243401°C,0.188973°C,0.572257°C,1.608896%
-12,0,0,0,"[0, 8640]","[0, 6480]","[0, 1]",0.5602,218700,-1.970952°C,32.538223°C,1.619025°C,0.148383°C,0.135742°C,0.412752°C,1.160449%
-9,0,0,0,"[0, 8640]","[0, 6480]","[0, 1]",0.6163,874800,-2.086807°C,32.912407°C,1.197793°C,0.083869°C,0.075127°C,0.248859°C,0.699664%
-6,0,0,0,"[0, 8640]","[0, 6480]","[0, 1]",2.0568,3499200,-2.257842°C,32.918781°C,0.851942°C,0.044848°C,0.037453°C,0.136372°C,0.383408%
-3,0,0,0,"[0, 8640]","[0, 6480]","[0, 1]",6.3209,13996800,-2.329103°C,32.969051°C,0.532617°C,0.021455°C,0.01401°C,0.059384°C,0.166957%
0,0,10366,800,"[0, 8640]","[0, 6480]","[0, 1]",489.95793,727833600,-3.479207°C,35.772976°C,0.0°C,0.0°C,0.0°C,0.0°C,0.0%
-15,0,10366,800,"[0, 8640]","[0, 6480]","[0, 1]",7.829141,712530,-1.943281°C,35.367405°C,2.141778°C,0.291545°C,0.224802°C,0.644092°C,1.739435%
-12,0,10366,800,"[0, 8640]","[0, 6480]","[0, 1]",6.930867,2843100,-1.970952°C,35.432224°C,1.762822°C,0.184735°C,0.166356°C,0.470526°C,1.270625%
-9,0,10366,800,"[0, 8640]","[0, 6480]","[0, 1]",7.556727,11372400,-2.086807°C,35.631012°C,1.310337°C,0.104688°C,0.097373°C,0.289156°C,0.780798%
-6,0,10366,800,"[0, 8640]","[0, 6480]","[0, 1]",21.730805,45489600,-2.257842°C,35.633152°C,0.935042°C,0.056061°C,0.050782°C,0.161342°C,0.435633%
-3,0,10366,800,"[0, 8640]","[0, 6480]","[0, 1]",81.071435,181958400,-2.329103°C,35.682373°C,0.58606°C,0.026504°C,0.019542°C,0.070601°C,0.190621%
0,0,10366,800,"[1437, 2662]","[4228, 4773]","[0, 90]",35.64023,781121250,0.0°C,35.782646°C,0.0°C,0.0°C,0.0°C,0.0°C,0.0%
