quality/resolution,start_timestep,end_timestep,time_interval,x_range,y_range,z_range,total_read_time_seconds,absolute_data_points,min_temperature_ocean,max_temperature_ocean,rmse,average_signed_error(bias),median_absolute_error,average_absolute_error,percentage_average_error
-9,5489,5489,0,"[5310, 7496]","[2678, 3650]","[0, 90]",0.6335,399672,0.0°C,28.301563°C,0.588483°C,-0.085858°C,0.136161°C,0.29262°C,1.032216%
-6,5489,5489,0,"[5310, 7496]","[2678, 3650]","[0, 90]",1.1322,3051594,0.0°C,28.314018°C,0.378014°C,-0.098488°C,0.087246°C,0.170746°C,0.602305%
-3,5489,5489,0,"[5310, 7496]","[2678, 3650]","[0, 90]",3.2025,23903910,0.0°C,28.341599°C,0.29185°C,-0.091344°C,0.066337°C,0.118641°C,0.418508%
0,6150,6150,0,"[939, 2180]","[2518, 3110]","[0, 1]",3.919,734672,1.730419°C,22.302193°C,0.0°C,0.0°C,0.0°C,0.0°C,0.0%
-15,6150,6150,0,"[939, 2180]","[2518, 3110]","[0, 1]",0.5747,741,0.0°C,22.284796°C,1.083472°C,-0.062049°C,0.426274°C,0.681813°C,3.314312%
-12,6150,6150,0,"[939, 2180]","[2518, 3110]","[0, 1]",0.5585,2886,0.108857°C,22.283079°C,0.746688°C,-0.072226°C,0.253641°C,0.444548°C,2.160962%
-9,6150,6150,0,"[939, 2180]","[2518, 3110]","[0, 1]",0.5997,11470,0.0°C,22.286331°C,0.509542°C,0.02062°C,0.155085°C,0.279673°C,1.359497%
-6,6150,6150,0,"[939, 2180]","[2518, 3110]","[0, 1]",0.7541,45880,0.0°C,22.294819°C,0.362954°C,-0.017754°C,0.087969°C,0.177143°C,0.861097%
-3,6150,6150,0,"[939, 2180]","[2518, 3110]","[0, 1]",1.7222,183520,0.084044°C,22.298946°C,0.181939°C,0.009635°C,0.039328°C,0.080882°C,0.393169%
0,0,0,0,"[0, 8640]","[0, 6480]","[0, 1]",38.3459,55987200,-2.503439°C,33.064865°C,0.0°C,0.0°C,0.0°C,0.0°C,0.0%
-15,0,0,0,"[0, 8640]","[0, 6480]","[0, 1]",0.5582,54810,-1.943281°C,31.988415°C,1.989774°C,0.243401°C,0.188973°C,0.572257°C,1.608896%
-12,0,0,0,"[0, 8640]","[0, 6480]","[0, 1]",0.5602,218700,-1.970952°C,32.538223°C,1.619025°C,0.148383°C,0.135742°C,0.412752°C,1.160449%
-9,0,0,0,"[0, 8640]","[0, 6480]","[0, 1]",0.6163,874800,-2.086807°C,32.912407°C,1.197793°C,0.083869°C,0.075127°C,0.248859°C,0.699664%
-6,0,0,0,"[0, 8640]","[0, 6480]","[0, 1]",2.0568,3499200,-2.257842°C,32.918781°C,0.851942°C,0.044848°C,0.037453°C,0.136372°C,0.383408%
-3,0,0,0,"[0, 8640]","[0, 6480]","[0, 1]",6.3209,13996800,-2.329103°C,32.969051°C,0.532617°C,0.021455°C,0.01401°C,0.059384°C,0.166957%
